2,2,2.0,5.0,40.00,Failed
2,2,2.0,40.0,5.00,Failed
2,2,34.0,2342.0,1.45,Failed
4,8,4.0,60.0,6.67,Failed
5,6,2.0,50.0,4.00,Failed
5,6,2.0,50.0,4.00,Failed
5,6,2.0,50.0,4.00,Failed
10,1,45.0,50.0,90.00,Passed
11,3,25.0,30.0,83.33,Passed
12,5,40.0,50.0,80.00,Passed
13,6,48.0,60.0,80.00,Passed
14,7,30.0,40.0,75.00,Passed
15,8,35.0,50.0,70.00,Passed
16,9,28.0,40.0,70.00,Passed
17,10,50.0,50.0,100.00,Passed
18,11,20.0,25.0,80.00,Passed
19,12,10.0,20.0,50.00,Passed
20,13,30.0,30.0,100.00,Passed
405,14,5.0,10.0,50.00,Passed
143,15,15.0,30.0,50.00,Passed
21,16,25.0,50.0,50.00,Passed
22,17,35.0,50.0,70.00,Passed
23,18,40.0,50.0,80.00,Passed
24,19,45.0,50.0,90.00,Passed

